@RELATION svm_affect
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,neutral,positive}

@DATA
0.109032,0.029553,2.985750,0.181084,0.202603,0.432700,0.019195,0.133917,-30.297423,3.130184,0.156290,-0.130358,-0.186230,0.193953,0.164365,0.084639,0.039358,0.051418,0.161892,0.043353,-0.075203,0.014226,0.004594,0.025024,0.008334,0.036454,0.009496,0.039574,0.002070,0.004197,0.026087,0.037406,0.007641,0.025975,0.102429,0.035968,0.404582,0.091924,0.037591,0.488996,0.014385,0.141878,3.540317,0.816088,0.563921,0.428421,0.487114,0.307361,0.251472,0.251723,0.246229,0.218820,0.279073,0.184097,0.218669,0.017374,0.007983,0.021996,0.009691,0.031034,0.016433,0.035617,0.002238,0.004154,0.029408,0.029987,0.015586,0.010962,negative
0.061397,0.018588,3.009347,0.140006,0.187531,0.293613,0.023492,0.087625,-30.806507,3.181076,0.108013,-0.044217,-0.185518,0.335826,0.198161,0.060525,0.033199,0.009025,0.093202,0.040792,-0.131047,0.019323,0.004793,0.015895,0.004364,0.012359,0.005554,0.027683,0.001736,0.003722,0.022794,0.081040,0.003746,0.032914,0.051578,0.020834,0.380392,0.059104,0.035755,0.335816,0.024290,0.088237,3.082810,0.714828,0.510349,0.415113,0.380983,0.332356,0.259948,0.233921,0.219697,0.186683,0.237786,0.219917,0.229821,0.026791,0.007965,0.017072,0.005182,0.012388,0.007664,0.032028,0.002371,0.006149,0.025972,0.040154,0.006504,0.009270,negative
0.104425,0.022696,2.926343,0.181137,0.198942,0.493855,0.017623,0.143536,-30.610654,3.107872,0.149435,-0.120380,-0.067424,0.332318,0.178617,0.132911,0.061418,0.099519,0.131672,0.032131,-0.058806,0.014764,0.005033,0.028255,0.006410,0.033139,0.009309,0.046605,0.002535,0.006097,0.028824,0.031148,0.004315,0.024497,0.095401,0.024791,0.445480,0.095647,0.040278,0.551208,0.012397,0.144223,2.826908,0.979428,0.555906,0.404326,0.370898,0.243625,0.237812,0.249428,0.249513,0.195026,0.231267,0.185284,0.225902,0.018615,0.006868,0.018306,0.005829,0.017874,0.010757,0.037972,0.002843,0.005933,0.029385,0.026111,0.005592,0.010756,negative
0.113392,0.035271,2.947618,0.191411,0.197454,0.574748,0.017789,0.153750,-30.128263,2.680690,0.305828,-0.250247,0.097910,-0.276554,-0.119168,0.005552,0.095981,0.060767,-0.043148,-0.056523,-0.132446,0.016723,0.004912,0.032732,0.014419,0.029933,0.013410,0.029938,0.003253,0.006222,0.020261,0.026913,0.008242,0.023714,0.106883,0.059126,0.322415,0.092958,0.038350,0.532204,0.010264,0.157780,3.970121,0.935148,0.956209,0.462575,0.446626,0.304904,0.373814,0.256618,0.278901,0.319660,0.213729,0.243605,0.242581,0.021654,0.007792,0.030818,0.015237,0.025913,0.020780,0.025668,0.006073,0.007432,0.021329,0.025802,0.018577,0.011724,negative
0.068805,0.044978,3.092290,0.151902,0.175010,0.497165,0.024597,0.123094,-29.675563,2.610935,-0.166747,-0.250989,0.059635,-0.026537,0.005730,0.025309,-0.058022,0.049088,-0.065007,-0.008863,-0.004810,0.007266,0.005681,0.009552,0.009243,0.019530,0.013573,0.017212,0.004950,0.006731,0.009401,0.075234,0.003506,0.031537,0.103192,0.064414,0.318354,0.111973,0.047191,0.626641,0.044259,0.183863,4.459501,1.011928,0.845531,0.493414,0.422826,0.292830,0.325976,0.321021,0.301390,0.287128,0.304499,0.266358,0.315788,0.012501,0.009877,0.018000,0.018230,0.030228,0.018551,0.017060,0.009696,0.010411,0.011552,0.047176,0.005021,0.013568,negative
0.065624,0.046767,3.064376,0.170034,0.216092,0.373907,0.019339,0.084083,-31.925230,2.889957,0.050656,-0.251221,0.175373,0.088744,-0.106276,-0.095789,-0.010167,0.000450,0.018485,-0.023462,0.019142,0.013010,0.005577,0.035421,0.018210,0.022672,0.021846,0.026532,0.002967,0.008854,0.020004,0.044579,0.003145,0.030461,0.054656,0.063561,0.265825,0.049791,0.030210,0.440611,0.013710,0.106493,3.982904,0.731090,0.824797,0.541336,0.557631,0.299858,0.361732,0.294865,0.346036,0.388020,0.279385,0.259796,0.286198,0.020330,0.010491,0.027054,0.032760,0.019668,0.037734,0.026889,0.004165,0.013497,0.025125,0.022729,0.004091,0.012776,negative
0.100782,0.047556,2.918792,0.194429,0.198336,0.521684,0.018619,0.160781,-30.158280,2.825334,0.017412,-0.427585,-0.154967,-0.096470,0.025977,0.056212,-0.021898,-0.008006,-0.108699,0.096420,-0.006780,0.010384,0.005458,0.014872,0.010404,0.017294,0.012991,0.018990,0.002013,0.008083,0.019771,0.061048,0.003633,0.026810,0.112696,0.067590,0.435067,0.117554,0.044464,0.581431,0.013556,0.204158,4.028249,0.815240,0.641119,0.459455,0.452658,0.337367,0.287989,0.320292,0.282379,0.264403,0.254852,0.227812,0.266221,0.011233,0.009797,0.013934,0.016349,0.024197,0.019058,0.025534,0.003219,0.013592,0.018561,0.043669,0.004560,0.009789,negative
0.150172,0.060087,2.920104,0.231321,0.193581,0.638179,0.019114,0.202000,-29.638760,2.546044,0.022639,-0.475838,0.053770,-0.075021,-0.022965,0.007287,-0.051072,-0.113368,-0.116699,-0.106673,-0.155120,0.023085,0.008451,0.032329,0.011131,0.025277,0.013590,0.021178,0.003744,0.008232,0.013982,0.026855,0.006865,0.023204,0.150326,0.085151,0.399527,0.148010,0.041800,0.649584,0.011443,0.227053,3.991156,0.938384,0.827033,0.558083,0.537905,0.307350,0.332347,0.281624,0.279214,0.301041,0.238321,0.238889,0.287705,0.030909,0.012606,0.032893,0.014410,0.028729,0.021353,0.024489,0.008803,0.015247,0.018015,0.033229,0.011907,0.013357,negative
0.108573,0.086914,2.992532,0.199985,0.185767,0.663876,0.039272,0.179042,-28.316903,2.215525,0.105788,-0.485009,-0.126119,-0.135525,0.047239,-0.000502,-0.019500,0.003825,-0.177146,0.055010,0.006650,0.014847,0.005076,0.011587,0.012368,0.018719,0.016048,0.012175,0.001504,0.005346,0.010207,0.058321,0.005808,0.027286,0.146368,0.125037,0.365255,0.147204,0.042546,0.833271,0.060911,0.250386,5.856774,1.419248,0.980520,0.621831,0.530901,0.399924,0.373923,0.388406,0.418701,0.333994,0.282781,0.293700,0.297826,0.026055,0.010664,0.017517,0.023464,0.028312,0.027638,0.016551,0.002226,0.009310,0.019394,0.061049,0.011935,0.015222,negative
0.073738,0.171465,3.173168,0.159640,0.192280,0.492198,0.023678,0.108250,-27.462557,2.523614,-0.178505,-0.483348,-0.002813,0.094565,-0.109219,-0.087722,-0.026864,-0.033547,-0.094063,-0.059261,-0.133016,0.019607,0.006054,0.018989,0.007739,0.019370,0.020760,0.019719,0.007488,0.011611,0.014392,0.049160,0.010047,0.029230,0.047220,0.175790,0.297328,0.046295,0.027058,0.445180,0.018409,0.100712,5.882593,0.929403,0.949765,0.646205,0.489989,0.468653,0.342160,0.356513,0.280160,0.315154,0.290353,0.324135,0.259993,0.032820,0.011592,0.022583,0.010695,0.027765,0.036313,0.020623,0.018452,0.022812,0.023742,0.038097,0.014468,0.013946,negative
